卡	段落	誰	提案	觸發	審閱	決定	全文
inv-401	跟他回家	貓草	away	（沿用前一張）	OK		旁白：後面那條巷子。舊公寓，四樓，沒有電梯。 樓梯間的感應燈慢半拍。他走在前面，沒有等燈亮。 四樓的門上貼著一張曬白的紙，是十年前的瓦斯行電話。 他把鑰匙插進去，沒有轉。
inv-402	跟他回家	貓草	away	客人：（沒有回頭）你不要寫出去喔。〔沒有回頭→away〕	OK		客人：（沒有回頭）你不要寫出去喔。 ／ 玩家：哪些不要寫。 ／ 客人：全部。 ／ 玩家：好。 ／ 客人：你答應得很快。 ／ 玩家：……我不會寫。 ／ 客人：…… ／ 旁白：鑰匙轉了一圈。 ／ 客人：鞋子放外面。
inv-403	跟他回家	貓草	away	（沿用前一張）	OK		旁白：三坪多。床墊靠著窗，被子沒有摺。 靠牆一整面層架。立牌、壓克力吊飾、鑰匙圈，還有一排一模一樣的貼紙。 東西照時間排。左邊那幾支的紙黃了，上面畫的天線比右邊的短。 最右邊立著兩本《守則本》。一本拆了，一本沒有。 桌上兩台螢幕。左邊那台開著聊天室，登入著，名字後面有一個數字。
inv-549	上頂樓	諾亞	down	"旁白：工作檯上那台收音機忽然響了一聲，很短，然後又沒了。
修收音機的低下頭去，繼續弄他〔工作檯上→down〕"	OK		旁白：工作檯上那台收音機忽然響了一聲，很短，然後又沒了。 修收音機的低下頭去，繼續弄他的。
inv-611	問立牌可不可以買	店員	think	店員：（想了一下）……忘記了。〔想了一下→think〕	OK		店員：歡迎光臨。 ／ 旁白：他把一杯咖啡放到櫃台上。 ／ 玩家：這個立牌可以買嗎。 ／ 店員：不好意思，這個不賣，是總公司的。 ／ 玩家：放很久了嗎。 ／ 店員：這個是上個月才換的。 ／ 玩家：上一個是誰。 ／ 店員：（想了一下）……忘記了。 ／ 玩家：這個廣告一天播幾次。 ／ 店員：四十秒一次。
inv-618	再進去一次	店員	think	店員：（想了一下）……忘記了。〔想了一下→think〕	OK		店員：歡迎光臨。 ／ 旁白：他抬起頭。跟上一次那一句一模一樣的表情。 ／ 旁白：他把一杯咖啡放到櫃台上。 ／ 玩家：我來過。 ／ 店員：喔。 ／ 玩家：上個月那個立牌，你想起來是誰了嗎。 ／ 店員：（想了一下）……忘記了。 ／ 店員：中杯熱美式，五十五。需要袋子嗎。 ／ 玩家：不用。
inv-620	再進去一次	店員	think	（沿用前一張）	OK		玩家：第二次。他沒有認出我。 我問了同一個問題。一模一樣的答案，連前面那個停頓都在同一個位置。 人真的想不起來的時候，第二次會想得比較久，或者比較短。不會一樣。 所以要嘛他在背，要嘛他根本沒有在想。我選第一個。 廣告是循環的。從中間進去，她會先講結尾再講開頭。
inv-623	問店員一件事	店員	smile	店員：（笑）你問。〔笑→smile〕	OK		旁白：自動門開了。 ／ 店員：歡迎光…… ／ 旁白：他從飲料櫃後面抬起頭。 ／ 店員：喔，是你。 ／ 玩家：我可以問一件事嗎。 ／ 店員：你問過很多了。 ／ 玩家：這一件跟她沒有關係。 ／ 店員：（笑）你問。 ／ 玩家：你幾點下班。 ／ 店員：（停了一下）……我？ ／ 玩家：嗯。 ／ 店員：我本來是大夜。這個禮拜不一定，有人辭職。今天從早上站到現在。 ／ 旁白：他站起來，走回收銀台。 ／ 店員：中杯熱美式喔。 ／ 玩家：嗯。 ／ 旁白：他沒有問要不要袋子。
inv-624	問店員一件事	店員	smile	（沿用前一張）	OK		旁白：廣告又播了一次。 兩個人都沒有抬頭。
inv-625	問店員一件事	店員	smile	（沿用前一張）	OK		玩家：第三次。這次是他先開口。 他沒有問我要不要袋子。 買一樣的東西買三次，人就會記得你。這在便利商店大概算常識。 前面問的都是她的事。這一件是他的事，他先愣了一下，然後講了最多。
inv-634	問立牌放多久了	店員	think	店員：（想了一下）深夜有一個。每次都是關東煮，兩顆蘿蔔，一杯無糖。〔想了一下→think〕	OK		玩家：這附近有沒有人常常來買奇怪的東西。 ／ 店員：奇怪的東西？ ／ 玩家：譬如每次都買一樣的。 ／ 店員：（想了一下）深夜有一個。每次都是關東煮，兩顆蘿蔔，一杯無糖。 ／ 玩家：每次？ ／ 店員：每次。他從來沒有換過。
inv-635	問立牌放多久了	店員	think	（沿用前一張）	OK		玩家：深夜的常客。每次都一樣。 我今天問了兩個人「有沒有人一直重複」，兩個人都想得出一個。 這個城市裡重複的人比我想的多。
